"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","regulation","is_validated"
-2.02974563730653,3.55466898672893,-10.0428102307648,1.5129445093063e-21,1.33234762736209e-19,38.1330049731383,"HSPA2","Down","Other"
1.33373736631511,7.50507844378464,10.0378113116958,1.57689007861503e-21,1.38072495283532e-19,38.0494329445272,"SERPINH1","Up","Other"
-0.952724092604893,4.13870451749105,-10.0338138575377,1.62994950336629e-21,1.41907478636827e-19,38.0666609250684,"ACOX3","Not significant","Other"
-1.0688639296337,3.00466889474417,-10.0270069586961,1.72440807544932e-21,1.49283078757683e-19,38.0607169641154,"ROGDI","Down","Other"
-2.00315879154223,6.36772030858812,-10.0212474570339,1.80856167495525e-21,1.55688710928873e-19,37.9196110004269,"KLF4","Down","Other"
1.09581323398263,6.42323431777684,10.0133068256516,1.93130628641097e-21,1.65326291769136e-19,37.8753968833204,"FAM91A1","Up","Other"
1.24960298837506,4.46176873548663,9.94554946990083,3.3777329906726e-21,2.87538903422646e-19,37.4094978365327,"E2F3","Up","Other"
-1.77769094740271,2.20545317533003,-9.93715203055988,3.61944659612233e-21,3.06413150234157e-19,37.3390614273888,"COX7A1","Down","Other"
1.1682177706397,6.13355385605814,9.93271852819622,3.75390684297194e-21,3.16050079971753e-19,37.2364140103827,"DKC1","Up","Other"
2.57641715863319,4.76030901709638,9.9200108803085,4.16739600699249e-21,3.48945404454349e-19,37.1948869372555,"CEP55","Up","Other"
-3.61800616531966,1.71554936812845,-9.91378095499237,4.38631437677572e-21,3.65279865192034e-19,37.1161949812074,"CHRDL1","Down","Other"
-1.93129589014628,3.59617728657006,-9.90494391082413,4.71655388155141e-21,3.90342839587148e-19,37.0096023264659,"CLDN5","Down","Other"
-0.726664904116975,7.37706969268916,-9.90438575604698,4.73822150774715e-21,3.90342839587148e-19,36.9677235525307,"RAB5B","Not significant","Other"
-1.88981984536318,3.13027001549838,-9.90112024398787,4.86698297893383e-21,3.98806311156166e-19,37.0057158146688,"TMEM25","Down","Other"
-1.07781469831144,3.62459850645599,-9.89462414091091,5.13354209337583e-21,4.18410986685095e-19,36.9567109136398,"ABHD6","Down","Other"
-1.87117171976851,1.58806800416697,-9.88852790661822,5.39685018118893e-21,4.37544631356391e-19,36.9502022066804,"GGTA1","Down","Other"
-1.98122524335335,5.68109445174895,-9.88617390301341,5.50207304279954e-21,4.43727711762196e-19,36.8128837593602,"METTL7A","Down","Other"
-1.20474581280209,4.69411158517462,-9.88280896674013,5.656028163141e-21,4.53755599705809e-19,36.8044853763653,"MINDY1","Down","Other"
-1.56271254962596,2.61894352750728,-9.87970341385819,5.80190544179656e-21,4.63034359815878e-19,36.8651137575622,"OSGIN1","Down","Other"
-2.076438741528,3.51061284446956,-9.86559585968364,6.51300310474953e-21,5.17091951161021e-19,36.689468611802,"CD36","Down","Other"
-2.18411912013456,3.22114183345291,-9.86370618063283,6.61459865713871e-21,5.22451006305858e-19,36.6846532303505,"KIT","Down","Other"
-1.83696175644278,1.91168701485166,-9.86200048610923,6.707652062263e-21,5.27083859231056e-19,36.7370017289792,"NDRG4","Down","Other"
0.898960374854439,6.6499947451236,9.85195364431792,7.28271117718614e-21,5.69351955959302e-19,36.5507607133508,"COLGALT1","Not significant","Other"
-1.84970118449813,7.05208614357492,-9.84943664117403,7.43428110885025e-21,5.78251215385342e-19,36.5359408943327,"BTG2","Down","Other"
-0.792035118836864,3.74418645170564,-9.8289347366081,8.79130237448679e-21,6.80349122647784e-19,36.4360587419044,"ZBTB22","Not significant","Other"
